id;region;cadena_productiva;tipo_empresa;tendencias;color_tendencias
18;RM;Servicios creativos;Empresa;Wearables;#74746c
19;RM;Servicios creativos;Empresa;Computación o programación creativa;#705abb
19;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
22;RM;Servicios creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
22;RM;Servicios creativos;Profesional indep.;Música;#96a5c3
23;RM;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
23;RM;Experiencias creativas;Empresa;Contenido para redes sociales;#62cca5
23;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
24;RM;Bienes creativos;Profesional indep.;Música;#96a5c3
25;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
25;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
25;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
26;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
26;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
26;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
28;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
33;RM;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
33;RM;Servicios creativos;Empresa;Nuevos medios;#070708
33;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
34;RM;Contenidos creativos;Empresa;Data science;#737daa
35;RM;Contenidos creativos;Empresa;Computación o programación creativa;#705abb
35;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
35;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
35;RM;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
35;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
35;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
36;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
36;RM;Contenidos creativos;Empresa;Música;#96a5c3
36;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
38;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
38;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
42;RM;Bienes creativos;Empresa;Contenido para redes sociales;#62cca5
42;RM;Bienes creativos;Empresa;Nuevos medios;#070708
42;RM;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
45;RM;Contenidos creativos;Profesional indep.;Contenido para redes sociales;#62cca5
46;RM;Bienes creativos;Empresa;Computación o programación creativa;#705abb
46;RM;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
46;RM;Bienes creativos;Empresa;Nuevos medios;#070708
47;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
48;RM;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
48;RM;Experiencias creativas;Empresa;Contenido para redes sociales;#62cca5
48;RM;Experiencias creativas;Empresa;Música;#96a5c3
49;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
49;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
50;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#a5a29a
55;RM;Servicios creativos;Empresa;Ninguna de las anteriores;#a5a29a
56;RM;Bienes creativos;Profesional indep.;Contenido para redes sociales;#62cca5
56;RM;Bienes creativos;Profesional indep.;Editorial;#e4e2d4
56;RM;Bienes creativos;Profesional indep.;Servicios creativos;#cbd2f6
58;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
58;RM;Contenidos creativos;Empresa;Fintech;#544c7c
58;RM;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
