v362_id;region;cadena_productiva;tipo_empresa;financiamiento;color_financiamiento
102;RM;Experiencias creativas;Empresa;Fondos públicos;#9a7cbb
102;RM;Experiencias creativas;Empresa;Otros;#a5a29a
105;RM;Experiencias creativas;Empresa;Asociaciones con otros negocios;#e4e2d4
105;RM;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
106;RM;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
107;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
109;RM;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
109;RM;Servicios creativos;Empresa;Instituciones bancarias;#737daa
110;RM;Experiencias creativas;Empresa;Aportes de capital de los socios o dueños;#62cca5
110;RM;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
110;RM;Experiencias creativas;Empresa;Monedas digitales;#96a5c3
112;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
119;RM;Servicios creativos;Empresa;Agro-Tech;#544c7c
119;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
122;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
122;RM;Contenidos creativos;Empresa;Instituciones bancarias;#737daa
124;RM;Experiencias creativas;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
124;RM;Experiencias creativas;Profesional indep.;Asociaciones con otros negocios;#e4e2d4
124;RM;Experiencias creativas;Profesional indep.;Monedas digitales;#96a5c3
125;RM;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
127;RM;Experiencias creativas;Empresa;Asociaciones con otros negocios;#e4e2d4
127;RM;Experiencias creativas;Empresa;Fondos públicos;#9a7cbb
127;RM;Experiencias creativas;Empresa;Otros;#a5a29a
128;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
128;RM;Contenidos creativos;Empresa;Otros;#a5a29a
128;RM;Contenidos creativos;Empresa;Instituciones bancarias;#737daa
130;RM;Contenidos creativos;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
130;RM;Contenidos creativos;Profesional indep.;Instituciones bancarias;#737daa
132;RM;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
132;RM;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
133;RM;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
133;RM;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
133;RM;Servicios creativos;Empresa;Instituciones bancarias;#737daa
136;RM;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
136;RM;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
136;RM;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
139;RM;Contenidos creativos;Profesional indep.;Fondos públicos;#9a7cbb
139;RM;Contenidos creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
139;RM;Contenidos creativos;Profesional indep.;Otros;#a5a29a
67;O'Higgins;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
67;O'Higgins;Bienes creativos;Empresa;Otros;#a5a29a
43;Maule;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
43;Maule;Contenidos creativos;Empresa;Fondos públicos;#9a7cbb
43;Maule;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
70;Maule;Experiencias creativas;Empresa;Aportes de capital de los socios o dueños;#62cca5
70;Maule;Experiencias creativas;Empresa;Fondos públicos;#9a7cbb
70;Maule;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
6;Bío-Bío;Contenidos creativos;Empresa;Agro-Tech;#544c7c
6;Bío-Bío;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
41;Bío-Bío;Experiencias creativas;Profesional indep.;Asociaciones con otros negocios;#e4e2d4
41;Bío-Bío;Experiencias creativas;Profesional indep.;Fondos públicos;#9a7cbb
41;Bío-Bío;Experiencias creativas;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
61;Bío-Bío;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
61;Bío-Bío;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
61;Bío-Bío;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
111;Bío-Bío;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
115;Bío-Bío;Servicios creativos;Empresa;Agro-Tech;#544c7c
115;Bío-Bío;Servicios creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
115;Bío-Bío;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
115;Bío-Bío;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
118;Bío-Bío;Bienes creativos;Empresa;Agro-Tech;#544c7c
118;Bío-Bío;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
137;Bío-Bío;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
137;Bío-Bío;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
27;La Araucanía;Contenidos creativos;Profesional indep.;Fondos públicos;#9a7cbb
27;La Araucanía;Contenidos creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
37;La Araucanía;Experiencias creativas;Empresa;Asociaciones con otros negocios;#e4e2d4
37;La Araucanía;Experiencias creativas;Empresa;Fondos públicos;#9a7cbb
37;La Araucanía;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
40;La Araucanía;Contenidos creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
44;La Araucanía;Contenidos creativos;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
66;La Araucanía;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
66;La Araucanía;Bienes creativos;Empresa;Otros;#a5a29a
81;La Araucanía;Bienes creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
116;La Araucanía;Servicios creativos;Profesional indep.;Ingresos propios del flujo del negocio;#705abb
121;La Araucanía;Experiencias creativas;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
39;Los Ríos;Experiencias creativas;Empresa;Ingresos propios del flujo del negocio;#705abb
75;Los Ríos;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
