v362_id;region;cadena_productiva;tipo_empresa;tecnologias;nivel_adopcion;color_tecnologias
33;RM;Servicios creativos;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
33;RM;Servicios creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
33;RM;Servicios creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
33;RM;Servicios creativos;Empresa;vfx_visual_effects;EARLY ADOPTER;#546c74
33;RM;Servicios creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
36;RM;Contenidos creativos;Empresa;sonido_inmersivo;EARLY ADOPTER;#070708
36;RM;Contenidos creativos;Empresa;vfx_visual_effects;LENTO ADOPTANTE;#546c74
38;RM;Contenidos creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
38;RM;Contenidos creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
38;RM;Contenidos creativos;Empresa;vfx_visual_effects;INNOVADOR;#546c74
42;RM;Bienes creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
42;RM;Bienes creativos;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
45;RM;Contenidos creativos;Profesional indep.;impresion_3d;EARLY ADOPTER;#705abb
45;RM;Contenidos creativos;Profesional indep.;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
45;RM;Contenidos creativos;Profesional indep.;realidad_aumentada_ar;EARLY ADOPTER;#e4e2d4
46;RM;Bienes creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
46;RM;Bienes creativos;Empresa;impresion_3d;INNOVADOR;#705abb
46;RM;Bienes creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
46;RM;Bienes creativos;Empresa;mocap_motion_capture;INNOVADOR;#737daa
46;RM;Bienes creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
46;RM;Bienes creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
46;RM;Bienes creativos;Empresa;Otros;INNOVADOR;#a5a29a
46;RM;Bienes creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
46;RM;Bienes creativos;Empresa;vfx_visual_effects;EARLY ADOPTER;#546c74
47;RM;Experiencias creativas;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
